RoutingID,RoutingType,DesNetwork,DesMsgID,DesMsgName,DesSigName,DesSigStartbit,DesSigLength,DesMuxedValue,SrcNetwork,SrcMsgID,SrcMsgName,SrcSigName,SrcSigStartbit,SrcSigLength,SrcMuxedValue,SigConversionID
PWT1051104_BOD1051104,Msg,PT_CAN,0x105,BCM_STAT_DOOR_FLAP,ALIVE_BCM_STAT_DOOR_FLAP,11,4,,Body_CAN,0x105,BCM_STAT_DOOR_FLAP,ALIVE_BCM_STAT_DOOR_FLAP,11,4,,SCF0
PWT1051702_BOD1051702,Msg,PT_CAN,0x105,BCM_STAT_DOOR_FLAP,BCM_STAT_TrunkAjar,17,2,,Body_CAN,0x105,BCM_STAT_DOOR_FLAP,BCM_STAT_TrunkAjar,17,2,,SCF0
PWT1051902_BOD1051902,Msg,PT_CAN,0x105,BCM_STAT_DOOR_FLAP,BCM_STAT_DoorAjarFL,19,2,,Body_CAN,0x105,BCM_STAT_DOOR_FLAP,BCM_STAT_DoorAjarFL,19,2,,SCF0
PWT1052102_BOD1052102,Msg,PT_CAN,0x105,BCM_STAT_DOOR_FLAP,BCM_STAT_DoorAjarFR,21,2,,Body_CAN,0x105,BCM_STAT_DOOR_FLAP,BCM_STAT_DoorAjarFR,21,2,,SCF0
PWT1052302_BOD1052302,Msg,PT_CAN,0x105,BCM_STAT_DOOR_FLAP,BCM_STAT_DoorAjarRL,23,2,,Body_CAN,0x105,BCM_STAT_DOOR_FLAP,BCM_STAT_DoorAjarRL,23,2,,SCF0
PWT1052502_BOD1052502,Msg,PT_CAN,0x105,BCM_STAT_DOOR_FLAP,BCM_STAT_DoorAjarRR,25,2,,Body_CAN,0x105,BCM_STAT_DOOR_FLAP,BCM_STAT_DoorAjarRR,25,2,,SCF0
PWT1052702_BOD1052702,Msg,PT_CAN,0x105,BCM_STAT_DOOR_FLAP,BCM_STAT_BonnetAjar,27,2,,Body_CAN,0x105,BCM_STAT_DOOR_FLAP,BCM_STAT_BonnetAjar,27,2,,SCF0
PWT1090708_BOD1090708,Msg,PT_CAN,0x109,BCM_SwitchSts,CHKSM_BCM_SWITCH_Sts,7,8,,Body_CAN,0x109,BCM_SwitchSts,CHKSM_BCM_SWITCH_Sts,7,8,,SCF0
PWT1091104_BOD1091104,Msg,PT_CAN,0x109,BCM_SwitchSts,ALV_BCM_SWITCH_Sts,11,4,,Body_CAN,0x109,BCM_SwitchSts,ALV_BCM_SWITCH_Sts,11,4,,SCF0
PWT1091302_BOD1091302,Msg,PT_CAN,0x109,BCM_SwitchSts,BCM_STAT_BrakeSwitch,13,2,,Body_CAN,0x109,BCM_SwitchSts,BCM_STAT_BrakeSwitch,13,2,,SCF0
