RoutingID,RoutingType,DesNetwork,DesMsgID,DesMsgName,DesSigName,DesSigStartbit,DesSigLength,DesMuxedValue,SrcNetwork,SrcMsgID,SrcMsgName,SrcSigName,SrcSigStartbit,SrcSigLength,SrcMuxedValue,SigConversionID
INF0953702_PWT0953702,Msg,Info_CAN,0x95,IDB_FUNCTION,TSM_Active,37,2,,PT_CAN,0x95,IDB_FUNCTION,TSM_Active,37,2,,SCF0
INF0954102_PWT0954102,Msg,Info_CAN,0x95,IDB_FUNCTION,HAS_Available,41,2,,PT_CAN,0x95,IDB_FUNCTION,HAS_Available,41,2,,SCF0
INF0954302_PWT0954302,Msg,Info_CAN,0x95,IDB_FUNCTION,STAT_EBD,43,2,,PT_CAN,0x95,IDB_FUNCTION,STAT_EBD,43,2,,SCF0
INF0954502_PWT0954502,Msg,Info_CAN,0x95,IDB_FUNCTION,EBD_Active,45,2,,PT_CAN,0x95,IDB_FUNCTION,EBD_Active,45,2,,SCF0
INF0955504_PWT0955504,Msg,Info_CAN,0x95,IDB_FUNCTION,ST_BRG_MSA,55,4,,PT_CAN,0x95,IDB_FUNCTION,ST_BRG_MSA,55,4,,SCF0
INF0D90708_PWT0D90708,Sig,Info_CAN,0xd9,VCU_HV_DrvSys_status,CRC_VCU_HV_DrvSys_status,7,8,,PT_CAN,0xd9,VCU_HV_DrvSys_status,CRC_VCU_HV_DrvSys_status,7,8,,SCF0
INF0D91104_PWT0D91104,Sig,Info_CAN,0xd9,VCU_HV_DrvSys_status,ALIV_VCU_HV_DrvSys_status,11,4,,PT_CAN,0xd9,VCU_HV_DrvSys_status,ALIV_VCU_HV_DrvSys_status,11,4,,SCF0
INF0D91403_PWT0D91403,Sig,Info_CAN,0xd9,VCU_HV_DrvSys_status,VCU_HVsystem_status,14,3,,PT_CAN,0xd9,VCU_HV_DrvSys_status,VCU_HVsystem_status,14,3,,SCF0
INF0D92312_PWT0D92312,Sig,Info_CAN,0xd9,VCU_HV_DrvSys_status,VCU_ACPD_Percent,23,12,,PT_CAN,0xd9,VCU_HV_DrvSys_status,VCU_ACPD_Percent,23,12,,SCF0
INF0D92701_PWT0D92701,Sig,Info_CAN,0xd9,VCU_HV_DrvSys_status,VCU_ACPD_Percent_Valid,27,1,,PT_CAN,0xd9,VCU_HV_DrvSys_status,VCU_ACPD_Percent_Valid,27,1,,SCF0
INF0D93403_PWT0D93403,Sig,Info_CAN,0xd9,VCU_HV_DrvSys_status,VCU_ACTGear,34,3,,PT_CAN,0xd9,VCU_HV_DrvSys_status,VCU_ACTGear,34,3,,SCF0
INF0D93501_PWT0D93501,Sig,Info_CAN,0xd9,VCU_HV_DrvSys_status,VCU_ACTGearValid,35,1,,PT_CAN,0xd9,VCU_HV_DrvSys_status,VCU_ACTGearValid,35,1,,SCF0
INF0D93803_PWT0D93803,Sig,Info_CAN,0xd9,VCU_HV_DrvSys_status,VCU_ACT_DriveMode,38,3,,PT_CAN,0xd9,VCU_HV_DrvSys_status,VCU_ACT_DriveMode,38,3,,SCF0
INF0D93901_PWT0D93901,Sig,Info_CAN,0xd9,VCU_HV_DrvSys_status,VCU_ACT_DriveMode_Valid,39,1,,PT_CAN,0xd9,VCU_HV_DrvSys_status,VCU_ACT_DriveMode_Valid,39,1,,SCF0
INF0D94303_PWT0D94303,Sig,Info_CAN,0xd9,VCU_HV_DrvSys_status,VCU_HV_DRVsystem_status,43,3,,PT_CAN,0xd9,VCU_HV_DrvSys_status,VCU_HV_DRVsystem_status,43,3,,SCF0
INF0D94502_PWT0D94502,Sig,Info_CAN,0xd9,VCU_HV_DrvSys_status,VCU_Recu_BrakeLight_ON_Req,45,2,,PT_CAN,0xd9,VCU_HV_DrvSys_status,VCU_Recu_BrakeLight_ON_Req,45,2,,SCF0
INF0F10708_CHA0F10708,Msg,Info_CAN,0xf1,IDB_RecuBrakeTorqueRequest,CRC_RecuBrakeTorqueRequest,7,8,,Chassis_CAN,0xf1,IDB_RecuBrakeTorqueRequest,CRC_RecuBrakeTorqueRequest,7,8,,SCF0
INF0F11104_CHA0F11104,Msg,Info_CAN,0xf1,IDB_RecuBrakeTorqueRequest,ALIV_RecuBrakeTorqueRequest,11,4,,Chassis_CAN,0xf1,IDB_RecuBrakeTorqueRequest,ALIV_RecuBrakeTorqueRequest,11,4,,SCF0
INF0F12314_CHA0F12314,Msg,Info_CAN,0xf1,IDB_RecuBrakeTorqueRequest,IDB_RecuBrakeTorqueRequest_FR,23,14,,Chassis_CAN,0xf1,IDB_RecuBrakeTorqueRequest,IDB_RecuBrakeTorqueRequest_FR,23,14,,SCF0
INF0F13914_CHA0F13914,Msg,Info_CAN,0xf1,IDB_RecuBrakeTorqueRequest,IDB_RecuBrakeTorqueRequest_RR,39,14,,Chassis_CAN,0xf1,IDB_RecuBrakeTorqueRequest,IDB_RecuBrakeTorqueRequest_RR,39,14,,SCF0
INF0F14001_CHA0F14001,Msg,Info_CAN,0xf1,IDB_RecuBrakeTorqueRequest,IDB_RecuBrakeControl_Sts,40,1,,Chassis_CAN,0xf1,IDB_RecuBrakeTorqueRequest,IDB_RecuBrakeControl_Sts,40,1,,SCF0
INF0F14101_CHA0F14101,Msg,Info_CAN,0xf1,IDB_RecuBrakeTorqueRequest,IDB_RecuBrkTorqueReq_Sts,41,1,,Chassis_CAN,0xf1,IDB_RecuBrakeTorqueRequest,IDB_RecuBrkTorqueReq_Sts,41,1,,SCF0
INF0F15512_CHA0F15512,Msg,Info_CAN,0xf1,IDB_RecuBrakeTorqueRequest,IDB_Brake_Pedal_position,55,12,,Chassis_CAN,0xf1,IDB_RecuBrakeTorqueRequest,IDB_Brake_Pedal_position,55,12,,SCF0
INF0F15901_CHA0F15901,Msg,Info_CAN,0xf1,IDB_RecuBrakeTorqueRequest,IDB_Brake_Pedal_position_sts,59,1,,Chassis_CAN,0xf1,IDB_RecuBrakeTorqueRequest,IDB_Brake_Pedal_position_sts,59,1,,SCF0
INF1020708_BOD1020708,Msg,Info_CAN,0x102,BCM_LOGICAL_CLAMP,CHKSM_BCM_LOGICAL_CLAMP,7,8,,Body_CAN,0x102,BCM_LOGICAL_CLAMP,CHKSM_BCM_LOGICAL_CLAMP,7,8,,SCF0
INF1021104_BOD1021104,Msg,Info_CAN,0x102,BCM_LOGICAL_CLAMP,ALIVE_BCM_LOGICAL_CLAMP,11,4,,Body_CAN,0x102,BCM_LOGICAL_CLAMP,ALIVE_BCM_LOGICAL_CLAMP,11,4,,SCF0
INF1021302_BOD1021302,Msg,Info_CAN,0x102,BCM_LOGICAL_CLAMP,STAT_CL30s_Light_L,13,2,,Body_CAN,0x102,BCM_LOGICAL_CLAMP,STAT_CL30s_Light_L,13,2,,SCF0
INF1021502_BOD1021502,Msg,Info_CAN,0x102,BCM_LOGICAL_CLAMP,STAT_CL30s_L,15,2,,Body_CAN,0x102,BCM_LOGICAL_CLAMP,STAT_CL30s_L,15,2,,SCF0
INF1021702_BOD1021702,Msg,Info_CAN,0x102,BCM_LOGICAL_CLAMP,STAT_CL15Wup_L,17,2,,Body_CAN,0x102,BCM_LOGICAL_CLAMP,STAT_CL15Wup_L,17,2,,SCF0
INF1021902_BOD1021902,Msg,Info_CAN,0x102,BCM_LOGICAL_CLAMP,STAT_CrankRelayHW_BCM,19,2,,Body_CAN,0x102,BCM_LOGICAL_CLAMP,STAT_CrankRelayHW_BCM,19,2,,SCF0
INF1031502_BOD1031502,Msg,Info_CAN,0x103,BCM_ENERGY_MANAGEMENT,REQ_ConsumerControlWirelessCharg,15,2,,Body_CAN,0x103,BCM_ENERGY_MANAGEMENT,REQ_ConsumerControlWirelessCharg,15,2,,SCF0
INF1031803_BOD1031803,Msg,Info_CAN,0x103,BCM_ENERGY_MANAGEMENT,REQ_ConsumerControlAudioVolumeCo,18,3,,Body_CAN,0x103,BCM_ENERGY_MANAGEMENT,REQ_ConsumerControlAudioVolumeCo,18,3,,SCF0
INF1032302_BOD1032302,Msg,Info_CAN,0x103,BCM_ENERGY_MANAGEMENT,REQ_ConsumerControlRearDefrost,23,2,,Body_CAN,0x103,BCM_ENERGY_MANAGEMENT,REQ_ConsumerControlRearDefrost,23,2,,SCF0
INF1033108_BOD1033108,Msg,Info_CAN,0x103,BCM_ENERGY_MANAGEMENT,REQ_ConsumerControlSeatHeatingRe,31,8,,Body_CAN,0x103,BCM_ENERGY_MANAGEMENT,REQ_ConsumerControlSeatHeatingRe,31,8,,SCF0
INF1033908_BOD1033908,Msg,Info_CAN,0x103,BCM_ENERGY_MANAGEMENT,REQ_ConsumerControlSeatVentilati,39,8,,Body_CAN,0x103,BCM_ENERGY_MANAGEMENT,REQ_ConsumerControlSeatVentilati,39,8,,SCF0
INF1034708_BOD1034708,Msg,Info_CAN,0x103,BCM_ENERGY_MANAGEMENT,REQ_ConsumerControlSeatHeatingFr,47,8,,Body_CAN,0x103,BCM_ENERGY_MANAGEMENT,REQ_ConsumerControlSeatHeatingFr,47,8,,SCF0
INF1035508_BOD1035508,Msg,Info_CAN,0x103,BCM_ENERGY_MANAGEMENT,DriverIdealTimerCount,55,8,,Body_CAN,0x103,BCM_ENERGY_MANAGEMENT,DriverIdealTimerCount,55,8,,SCF0
INF1036308_BOD1036308,Msg,Info_CAN,0x103,BCM_ENERGY_MANAGEMENT,REQ_ConsumerControlVentilationCl,63,8,,Body_CAN,0x103,BCM_ENERGY_MANAGEMENT,REQ_ConsumerControlVentilationCl,63,8,,SCF0
INF1040708_BOD1040708,Msg,Info_CAN,0x104,BAS_Measured_Data,CHKSM_LV_BATT_CHARG,7,8,,Body_CAN,0x104,BAS_Measured_Data,CHKSM_LV_BATT_CHARG,7,8,,SCF0
INF1041104_BOD1041104,Msg,Info_CAN,0x104,BAS_Measured_Data,ALIV_LV_BATT_CHARG,11,4,,Body_CAN,0x104,BAS_Measured_Data,ALIV_LV_BATT_CHARG,11,4,,SCF0
INF1042308_BOD1042308,Msg,Info_CAN,0x104,BAS_Measured_Data,SOH_SUL,23,8,,Body_CAN,0x104,BAS_Measured_Data,SOH_SUL,23,8,,SCF0
INF1042902_BOD1042902,Msg,Info_CAN,0x104,BAS_Measured_Data,SOH_SUL_STATE,29,2,,Body_CAN,0x104,BAS_Measured_Data,SOH_SUL_STATE,29,2,,SCF0
INF1043102_BOD1043102,Msg,Info_CAN,0x104,BAS_Measured_Data,SOC_STATE,31,2,,Body_CAN,0x104,BAS_Measured_Data,SOC_STATE,31,2,,SCF0
INF1043501_BOD1043501,Msg,Info_CAN,0x104,BAS_Measured_Data,Resp_Error,35,1,,Body_CAN,0x104,BAS_Measured_Data,Resp_Error,35,1,,SCF0
INF1043601_BOD1043601,Msg,Info_CAN,0x104,BAS_Measured_Data,FLAG_INCONSTENCY,36,1,,Body_CAN,0x104,BAS_Measured_Data,FLAG_INCONSTENCY,36,1,,SCF0
INF1043701_BOD1043701,Msg,Info_CAN,0x104,BAS_Measured_Data,EBS_error,37,1,,Body_CAN,0x104,BAS_Measured_Data,EBS_error,37,1,,SCF0
INF1043801_BOD1043801,Msg,Info_CAN,0x104,BAS_Measured_Data,FLAG_DISCONNECT,38,1,,Body_CAN,0x104,BAS_Measured_Data,FLAG_DISCONNECT,38,1,,SCF0
INF1043901_BOD1043901,Msg,Info_CAN,0x104,BAS_Measured_Data,BCM_LV_Batt_Charging_Req,39,1,,Body_CAN,0x104,BAS_Measured_Data,BCM_LV_Batt_Charging_Req,39,1,,SCF0
INF1044708_BOD1044708,Msg,Info_CAN,0x104,BAS_Measured_Data,IBATT_QUIESCENT,47,8,,Body_CAN,0x104,BAS_Measured_Data,IBATT_QUIESCENT,47,8,,SCF0
INF1050708_BOD1050708,Msg,Info_CAN,0x105,BCM_STAT_DOOR_FLAP,CHKSM_BCM_STAT_DOOR_FLAP,7,8,,Body_CAN,0x105,BCM_STAT_DOOR_FLAP,CHKSM_BCM_STAT_DOOR_FLAP,7,8,,SCF0
INF1051104_BOD1051104,Msg,Info_CAN,0x105,BCM_STAT_DOOR_FLAP,ALIVE_BCM_STAT_DOOR_FLAP,11,4,,Body_CAN,0x105,BCM_STAT_DOOR_FLAP,ALIVE_BCM_STAT_DOOR_FLAP,11,4,,SCF0
INF1051702_BOD1051702,Msg,Info_CAN,0x105,BCM_STAT_DOOR_FLAP,BCM_STAT_TrunkAjar,17,2,,Body_CAN,0x105,BCM_STAT_DOOR_FLAP,BCM_STAT_TrunkAjar,17,2,,SCF0
INF1051902_BOD1051902,Msg,Info_CAN,0x105,BCM_STAT_DOOR_FLAP,BCM_STAT_DoorAjarFL,19,2,,Body_CAN,0x105,BCM_STAT_DOOR_FLAP,BCM_STAT_DoorAjarFL,19,2,,SCF0
INF1052102_BOD1052102,Msg,Info_CAN,0x105,BCM_STAT_DOOR_FLAP,BCM_STAT_DoorAjarFR,21,2,,Body_CAN,0x105,BCM_STAT_DOOR_FLAP,BCM_STAT_DoorAjarFR,21,2,,SCF0
INF1052302_BOD1052302,Msg,Info_CAN,0x105,BCM_STAT_DOOR_FLAP,BCM_STAT_DoorAjarRL,23,2,,Body_CAN,0x105,BCM_STAT_DOOR_FLAP,BCM_STAT_DoorAjarRL,23,2,,SCF0
INF1052502_BOD1052502,Msg,Info_CAN,0x105,BCM_STAT_DOOR_FLAP,BCM_STAT_DoorAjarRR,25,2,,Body_CAN,0x105,BCM_STAT_DOOR_FLAP,BCM_STAT_DoorAjarRR,25,2,,SCF0
INF1052702_BOD1052702,Msg,Info_CAN,0x105,BCM_STAT_DOOR_FLAP,BCM_STAT_BonnetAjar,27,2,,Body_CAN,0x105,BCM_STAT_DOOR_FLAP,BCM_STAT_BonnetAjar,27,2,,SCF0
INF1060708_BOD1060708,Msg,Info_CAN,0x106,BCM_LIGHT,CHKSM_BCM_LIGHT,7,8,,Body_CAN,0x106,BCM_LIGHT,CHKSM_BCM_LIGHT,7,8,,SCF0
INF1061104_BOD1061104,Msg,Info_CAN,0x106,BCM_LIGHT,ALIVE_BCM_LIGHT,11,4,,Body_CAN,0x106,BCM_LIGHT,ALIVE_BCM_LIGHT,11,4,,SCF0
INF1061302_BOD1061302,Msg,Info_CAN,0x106,BCM_LIGHT,BCM_DayRunningLampSts,13,2,,Body_CAN,0x106,BCM_LIGHT,BCM_DayRunningLampSts,13,2,,SCF0
INF1061502_BOD1061502,Msg,Info_CAN,0x106,BCM_LIGHT,BCM_ReverseLightSts,15,2,,Body_CAN,0x106,BCM_LIGHT,BCM_ReverseLightSts,15,2,,SCF0
INF1061702_BOD1061702,Msg,Info_CAN,0x106,BCM_LIGHT,BCM_StopLightSts,17,2,,Body_CAN,0x106,BCM_LIGHT,BCM_StopLightSts,17,2,,SCF0
INF1061902_BOD1061902,Msg,Info_CAN,0x106,BCM_LIGHT,BCM_LicensePlateLightSts,19,2,,Body_CAN,0x106,BCM_LIGHT,BCM_LicensePlateLightSts,19,2,,SCF0
INF1062102_BOD1062102,Msg,Info_CAN,0x106,BCM_LIGHT,BCM_Fr_Dimming_dome_lampSts,21,2,,Body_CAN,0x106,BCM_LIGHT,BCM_Fr_Dimming_dome_lampSts,21,2,,SCF0
INF1062302_BOD1062302,Msg,Info_CAN,0x106,BCM_LIGHT,BCM_Rr_Dimming_dome_lampSts,23,2,,Body_CAN,0x106,BCM_LIGHT,BCM_Rr_Dimming_dome_lampSts,23,2,,SCF0
INF1062502_BOD1062502,Msg,Info_CAN,0x106,BCM_LIGHT,BCM_STAT_InteriorLight,25,2,,Body_CAN,0x106,BCM_LIGHT,BCM_STAT_InteriorLight,25,2,,SCF0
INF1062803_BOD1062803,Msg,Info_CAN,0x106,BCM_LIGHT,BCM_STAT_LightActivation,28,3,,Body_CAN,0x106,BCM_LIGHT,BCM_STAT_LightActivation,28,3,,SCF0
INF1063102_BOD1063102,Msg,Info_CAN,0x106,BCM_LIGHT,BCM_HighBeamSts,31,2,,Body_CAN,0x106,BCM_LIGHT,BCM_HighBeamSts,31,2,,SCF0
INF1063907_BOD1063907,Msg,Info_CAN,0x106,BCM_LIGHT,BCM_STAT_SwitchLightBrightness,39,7,,Body_CAN,0x106,BCM_LIGHT,BCM_STAT_SwitchLightBrightness,39,7,,SCF0
INF1064102_BOD1064102,Msg,Info_CAN,0x106,BCM_LIGHT,BCM_LowBeamSts,41,2,,Body_CAN,0x106,BCM_LIGHT,BCM_LowBeamSts,41,2,,SCF0
INF1064302_BOD1064302,Msg,Info_CAN,0x106,BCM_LIGHT,BCM_RearFogLmpSts,43,2,,Body_CAN,0x106,BCM_LIGHT,BCM_RearFogLmpSts,43,2,,SCF0
INF1064502_BOD1064502,Msg,Info_CAN,0x106,BCM_LIGHT,BCM_FrntFogLmpSts,45,2,,Body_CAN,0x106,BCM_LIGHT,BCM_FrntFogLmpSts,45,2,,SCF0
INF1064702_BOD1064702,Msg,Info_CAN,0x106,BCM_LIGHT,BCM_PosLmpSts,47,2,,Body_CAN,0x106,BCM_LIGHT,BCM_PosLmpSts,47,2,,SCF0
INF1065302_BOD1065302,Msg,Info_CAN,0x106,BCM_LIGHT,BCM_HornSts,53,2,,Body_CAN,0x106,BCM_LIGHT,BCM_HornSts,53,2,,SCF0
INF1065502_BOD1065502,Msg,Info_CAN,0x106,BCM_LIGHT,BCM_TurnIndicatorSts,55,2,,Body_CAN,0x106,BCM_LIGHT,BCM_TurnIndicatorSts,55,2,,SCF0
INF1070708_BOD1070708,Msg,Info_CAN,0x107,BCM_STAT_CENTRAL_LOCK,CHKSM_BCM_CENTRAL_LOCK,7,8,,Body_CAN,0x107,BCM_STAT_CENTRAL_LOCK,CHKSM_BCM_CENTRAL_LOCK,7,8,,SCF0
INF1071104_BOD1071104,Msg,Info_CAN,0x107,BCM_STAT_CENTRAL_LOCK,ALV_BCM_CENTRAL_LOCK,11,4,,Body_CAN,0x107,BCM_STAT_CENTRAL_LOCK,ALV_BCM_CENTRAL_LOCK,11,4,,SCF0
INF1071502_BOD1071502,Msg,Info_CAN,0x107,BCM_STAT_CENTRAL_LOCK,STAT_CDL_LED,15,2,,Body_CAN,0x107,BCM_STAT_CENTRAL_LOCK,STAT_CDL_LED,15,2,,SCF0
INF1071702_BOD1071702,Msg,Info_CAN,0x107,BCM_STAT_CENTRAL_LOCK,STAT_DoorUnlockFL,17,2,,Body_CAN,0x107,BCM_STAT_CENTRAL_LOCK,STAT_DoorUnlockFL,17,2,,SCF0
INF1072003_BOD1072003,Msg,Info_CAN,0x107,BCM_STAT_CENTRAL_LOCK,STAT_ATWS,20,3,,Body_CAN,0x107,BCM_STAT_CENTRAL_LOCK,STAT_ATWS,20,3,,SCF0
INF1072302_BOD1072302,Msg,Info_CAN,0x107,BCM_STAT_CENTRAL_LOCK,STAT_DoorLockFL,23,2,,Body_CAN,0x107,BCM_STAT_CENTRAL_LOCK,STAT_DoorLockFL,23,2,,SCF0
INF1090708_BOD1090708,Msg,Info_CAN,0x109,BCM_SwitchSts,CHKSM_BCM_SWITCH_Sts,7,8,,Body_CAN,0x109,BCM_SwitchSts,CHKSM_BCM_SWITCH_Sts,7,8,,SCF0
INF1091104_BOD1091104,Msg,Info_CAN,0x109,BCM_SwitchSts,ALV_BCM_SWITCH_Sts,11,4,,Body_CAN,0x109,BCM_SwitchSts,ALV_BCM_SWITCH_Sts,11,4,,SCF0
INF1091302_BOD1091302,Msg,Info_CAN,0x109,BCM_SwitchSts,BCM_STAT_BrakeSwitch,13,2,,Body_CAN,0x109,BCM_SwitchSts,BCM_STAT_BrakeSwitch,13,2,,SCF0
INF1091502_BOD1091502,Msg,Info_CAN,0x109,BCM_SwitchSts,BCM_STAT_HazardWarn,15,2,,Body_CAN,0x109,BCM_SwitchSts,BCM_STAT_HazardWarn,15,2,,SCF0
INF1091702_BOD1091702,Msg,Info_CAN,0x109,BCM_SwitchSts,BCM_STAT_FuelPumpCutOFF,17,2,,Body_CAN,0x109,BCM_SwitchSts,BCM_STAT_FuelPumpCutOFF,17,2,,SCF0
INF1091902_BOD1091902,Msg,Info_CAN,0x109,BCM_SwitchSts,BCM_FollowMeHomeActive,19,2,,Body_CAN,0x109,BCM_SwitchSts,BCM_FollowMeHomeActive,19,2,,SCF0
INF1092102_BOD1092102,Msg,Info_CAN,0x109,BCM_SwitchSts,BCM_STAT_Horn,21,2,,Body_CAN,0x109,BCM_SwitchSts,BCM_STAT_Horn,21,2,,SCF0
INF1092302_BOD1092302,Msg,Info_CAN,0x109,BCM_SwitchSts,BCM_STAT_Autowiping,23,2,,Body_CAN,0x109,BCM_SwitchSts,BCM_STAT_Autowiping,23,2,,SCF0
INF1092502_BOD1092502,Msg,Info_CAN,0x109,BCM_SwitchSts,BCM_TurnIndicator,25,2,,Body_CAN,0x109,BCM_SwitchSts,BCM_TurnIndicator,25,2,,SCF0
INF1092702_BOD1092702,Msg,Info_CAN,0x109,BCM_SwitchSts,BCM_WelcomeActive,27,2,,Body_CAN,0x109,BCM_SwitchSts,BCM_WelcomeActive,27,2,,SCF0
INF1092902_BOD1092902,Msg,Info_CAN,0x109,BCM_SwitchSts,BCM_HighBeam,29,2,,Body_CAN,0x109,BCM_SwitchSts,BCM_HighBeam,29,2,,SCF0
INF1093302_BOD1093302,Msg,Info_CAN,0x109,BCM_SwitchSts,ACM_Seat_Belt_Status_3rd_Row_Pas,33,2,,Body_CAN,0x109,BCM_SwitchSts,ACM_Seat_Belt_Status_3rd_Row_Pas,33,2,,SCF0
INF1093502_BOD1093502,Msg,Info_CAN,0x109,BCM_SwitchSts,ACM_Seat_Belt_Status_3rd_Row_Dri,35,2,,Body_CAN,0x109,BCM_SwitchSts,ACM_Seat_Belt_Status_3rd_Row_Dri,35,2,,SCF0
INF10A0708_BOD10A0708,Msg,Info_CAN,0x10a,BCM_VOLTAGE,CHKSM_BCM_VOLTAGE,7,8,,Body_CAN,0x10a,BCM_VOLTAGE,CHKSM_BCM_VOLTAGE,7,8,,SCF0
INF10A1104_BOD10A1104,Msg,Info_CAN,0x10a,BCM_VOLTAGE,ALIVE_BCM_VOLTAGE,11,4,,Body_CAN,0x10a,BCM_VOLTAGE,ALIVE_BCM_VOLTAGE,11,4,,SCF0
INF10A2314_BOD10A2314,Msg,Info_CAN,0x10a,BCM_VOLTAGE,UBatt,23,14,,Body_CAN,0x10a,BCM_VOLTAGE,UBatt,23,14,,SCF0
